"keyword","source","title","link","snippet","posted","posted_date","epiyear","epiweek"
"RSウイルス","Google RSS","RSワクチン助成 標津で9月から - 北海道新聞デジタル","https://news.google.com/rss/articles/CBMiugFBVV95cUxNeVdJX044VUxQX240dFhaUTRTckgtV1B4eFZHTWFHZHB4THFvTDI1ZzVwSFhDM1dha040bUFfQUQtWkhiQ05veUZXZzd0RTJZRFhIb09MVnZqaktwSkFKNkJJSkJZQlpQYTBscmJ4bThqUDJnaHdpbFJJcVBlVGpLUk50QzBydWFDTDRwalZ4Q2RjalBKSWM1OGs3bWRNZEQ2YkxMRVlnMl9xNFpkQjFHMmtpRHhEU2MwQUE?oc=5","RSワクチン助成 標津で9月から,"Wed, 23 Jul 2025 10:01:47 GMT",2025-07-23,2025,30
"感染症","Google RSS","マダニ感染症「SFTS」拡大の懸念 - Yahoo!ニュース","https://news.google.com/rss/articles/CBMiUEFVX3lxTE5uTGlXbl8tMkhCaTZvMENTV1RFdUtEaGxZejFuWDB4dkRzcTZmRm1oOUlETjdNakFHSk9yX0xkUHB5eFYyUndOOFdKZzB1SjB1?oc=5","マダニ感染症「SFTS」拡大の懸念,"Sun, 27 Jul 2025 22:27:24 GMT",2025-07-27,2025,30
"感染症","Google RSS","豊岡健康福祉事務所感染症発生動向調査週報 - pref.hyogo.lg.jp","https://news.google.com/rss/articles/CBMid0FVX3lxTE8xNjlUX2ptekVCWjl0WmVrMHQwTTZ4U3RoZGNidmJaUnNHY19qVnlVYUl1b2lwdlRjQzVmbVM0c3FUd1JpMllzQmxscndWMTlQaFA3MF9EQzdoTTFxQVdVTWVHS2YxTjNTMEF2Y010RVVCZnEtMVRZ?oc=5","豊岡健康福祉事務所感染症発生動向調査週報,"Fri, 25 Jul 2025 07:00:00 GMT",2025-07-25,2025,30
"感染症","Google RSS","広島県における定点把握感染症(五類)の週別・月別発生状況・5年平均比較 - pref.hiroshima.lg.jp","https://news.google.com/rss/articles/CBMiigFBVV95cUxOcDM2TlZBZDNSdlZLYkxWMld2MElTZkJWcHFSV0FmY09LMGtIc3c2aURwVktMcWN5TGdrZXg0bVRDdDdaMHQ0WFJVYmxweFNoYVI2N1Q2eVB1Y0ZUSVlGdlh2ZW9aR3B3VFBQUUkxV0FjcURuNWE1VFE2aUNjbWhmbVlZZXdZVnRyR0E?oc=5","広島県における定点把握感染症(五類)の週別・月別発生状況・5年平均比較,"Fri, 25 Jul 2025 07:00:00 GMT",2025-07-25,2025,30
"感染症","Google RSS","週報ー徳島県感染症発生動向調査ー｜徳島県ホームページ - pref.tokushima.lg.jp","https://news.google.com/rss/articles/CBMihAFBVV95cUxPWWlrdmhmNkVwT3ZTazZUR1c5dGZLTVdFSWE2WjVyTEJFdDRkS01HSVhIYmJwNUJEM09kX2NHdE03ZW9mTHhENHBZRS1zSHAwczRZYXU5ZU41b0hJU2hGWUZHX0c3OEhncnBONzV1djRzNVRrVmFCQkhBU25NaXV3WUdFVnQ?oc=5","週報ー徳島県感染症発生動向調査ー｜徳島県ホームページ,"Thu, 24 Jul 2025 07:00:00 GMT",2025-07-24,2025,30
"感染症","Google RSS","RSウイルス感染症の流行状況 - pref.hiroshima.lg.jp","https://news.google.com/rss/articles/CBMidEFVX3lxTE15anh4LTVrTmNFdTVKMDR0bERFUGRwV05qYks3TXpsc2tyNzBqUFJhbTFYeHlsVG5QSFNIM21vcHdaUjhjQlhOZFJvSWNGb3Y0OTRvMXVmYThOV0Jlbzd0c0p1OHNreEVaYjBPQS1kTkZtLVZO?oc=5","RSウイルス感染症の流行状況,"Thu, 24 Jul 2025 07:00:00 GMT",2025-07-24,2025,30
"感染症","Google RSS","腸管出血性大腸菌感染症に注意しましょう - pref.fukuoka.lg.jp","https://news.google.com/rss/articles/CBMiaEFVX3lxTE4xX25WaFdWc0RONTJVTG4zWlBxRFRMQVlNS3JiV0RrdkdSYlIyOHdTVGl2WEsyMFZLVDd1dnotV1NLdm5SNS0ydFZraC1GZ2ZEamxvbG5nM0NZdHQ5OS15NldET2hiMWRU?oc=5","腸管出血性大腸菌感染症に注意しましょう,"Thu, 24 Jul 2025 07:00:00 GMT",2025-07-24,2025,30
"感染症","Google RSS","百日咳の流行状況について - pref.hiroshima.lg.jp","https://news.google.com/rss/articles/CBMib0FVX3lxTE5UbHc1RnlOQm8wcVpWNi1hSS1mV0tCbVlTaGtoWFlBbF9QTnBsNDJqR3FLM1UzV0RjMXEzRFNTRXZDc3VIZmlYbVJwVzFrc3pmTExRLUtHQUpMVFlMaThURkpocFc4djFDYzFJbS1jNA?oc=5","百日咳の流行状況について,"Fri, 25 Jul 2025 02:26:56 GMT",2025-07-25,2025,30
"感染症","Google RSS","百日咳の流行状況（東京都 2025年） - 東京都感染症情報センター","https://news.google.com/rss/articles/CBMidEFVX3lxTE5tOExTTTIybGxpb09VZnlzTFBGZ21HamhON2tNWEQ4eXdvM0UtLUNhTnFpZHBYa2RITFJ1R1FxT0ZFMkx1ZUhiM0ktNWV4NE8wdWlZeTZEMkRGZ29JdHpicE5OMVFNb3ladHJ0b2NwYUtRNVds?oc=5","百日咳の流行状況（東京都 2025年）,"Thu, 24 Jul 2025 07:00:00 GMT",2025-07-24,2025,30
"感染症","Google RSS","【長岡】感染症情報（令和7年第29週：7月14日から7月20日まで） - pref.niigata.lg.jp","https://news.google.com/rss/articles/CBMieEFVX3lxTFBZR1RpSi1rNTJIVXd3WnRMMFplaEIzR1A0WGhjb2pnTW8xdVdKaVdRM2tRSzdNdjUzZ3UyUDhtX0JTRmxOcG54WnROQ0RVTjd3dzRCZ0dGSkx2WDJPQkVZZXpXWjN1NklPeFM1ZmlzT0VkZ0kyWktRbA?oc=5","【長岡】感染症情報（令和7年第29週：7月14日から7月20日まで）,"Thu, 24 Jul 2025 08:15:00 GMT",2025-07-24,2025,30
